# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  156       5.918103541631e-10       1.523356284286e-13      -6.266747044159e-12       1.140817650633e-15       3.182314637194e-12       5.834955131171e-13      -3.805307481590e-15 
  157       5.959072669351e-10       1.514290772542e-13      -6.257606939032e-12       1.156925677198e-15       3.124282643407e-12       5.749590131593e-13      -3.736046933229e-15 
  158       5.999741564471e-10       1.504698906759e-13      -6.245111610737e-12       1.173179318920e-15       3.067618100998e-12       5.665768824310e-13      -3.666839060342e-15 
  159       6.040095364176e-10       1.494599047647e-13      -6.229228009223e-12       1.189578840431e-15       3.012234601799e-12       5.583416042974e-13      -3.597776519875e-15 
  160       6.080118731045e-10       1.484010716241e-13      -6.209924784928e-12       1.206124480583e-15       2.958037397351e-12       5.502447411395e-13      -3.528954127335e-15 
  161       6.119796943099e-10       1.472954208025e-13      -6.187172308240e-12       1.222816454962e-15       2.904942816846e-12       5.422789542608e-13      -3.460457822896e-15 
  162       6.159119289516e-10       1.461449360124e-13      -6.160942649188e-12       1.239654964751e-15       2.852938781031e-12       5.344443026182e-13      -3.392330445461e-15 
  163       6.198075960928e-10       1.449516708125e-13      -6.131209669370e-12       1.256640187676e-15       2.802029363851e-12       5.267424688523e-13      -3.324602943056e-15 
  164       6.236656975043e-10       1.437177895265e-13      -6.097949078760e-12       1.273772274556e-15       2.752215631660e-12       5.191747624610e-13      -3.257305110392e-15 
  165       6.274852173490e-10       1.424455688119e-13      -6.061138474040e-12       1.291051348799e-15       2.703495575915e-12       5.117421109440e-13      -3.190465551245e-15 
